Monitoring sys_clone events...
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process zsh (PID: 15543, PPID: 2267) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process tracker-miner-f (PID: 3185, PPID: 2267) called sys_clone
Process systemd (PID: 1, PPID: 0) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process nvim (PID: 15954, PPID: 15523) called sys_clone
Process nvim (PID: 15955, PPID: 15954) called sys_clone
Process nvim (PID: 15954, PPID: 15523) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process lazygit (PID: 15961, PPID: 15958) called sys_clone
Process lazygit (PID: 15961, PPID: 15958) called sys_clone
Process lazygit (PID: 15961, PPID: 15958) called sys_clone
Process lazygit (PID: 15961, PPID: 15958) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process nvim (PID: 15958, PPID: 15954) called sys_clone
Process systemd-journal (PID: 374, PPID: 1) called sys_clone
Process systemd-journal (PID: 374, PPID: 1) called sys_clone
Process tracker-miner-f (PID: 3185, PPID: 2267) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process tracker-miner-f (PID: 3185, PPID: 2267) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
